"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"CPP_105","SMD_0603_CAPC1608X80N","-57.3mm","22.2mm","-57.3mm","22.2mm","-56.5mm","22.2mm","T","180.00","470nF"
"CPP_106","SMD_0603_CAPC1608X80N","-32.7002mm","27.7866mm","-32.7002mm","27.7866mm","-33.5002mm","27.7866mm","T","360.00","470nF"
"CPP_107","SMD_0603_CAPC1608X80N","-12.7001mm","27.7999mm","-12.7001mm","27.7999mm","-13.5001mm","27.7999mm","T","360.00","470nF"
"CPP_108","SMD_0603_CAPC1608X80N","-72.7001mm","7.7986mm","-72.7001mm","7.7986mm","-73.5001mm","7.7986mm","T","360.00","470nF"
"CPP_109","SMD_0603_CAPC1608X80N","-12.7001mm","7.7473mm","-12.7001mm","7.7473mm","-13.5001mm","7.7473mm","T","360.00","470nF"
"CPP_110","SMD_0603_CAPC1608X80N","-66.8mm","3mm","-66.8mm","3mm","-66mm","3mm","T","180.00","470nF"
"CPP_111","SMD_0603_CAPC1608X80N","-37.2998mm","42.2002mm","-37.2998mm","42.2002mm","-36.4998mm","42.2002mm","T","180.00","470nF"
"CPP_112","SMD_0603_CAPC1608X80N","-12.7002mm","47.7998mm","-12.7002mm","47.7998mm","-13.5002mm","47.7998mm","T","360.00","470nF"
"CPP_113","SMD_0603_CAPC1608X80N","-52.7002mm","47.7999mm","-52.7002mm","47.7999mm","-53.5002mm","47.7999mm","T","360.00","470nF"
"CPP_114","SMD_0603_CAPC1608X80N","-72.7002mm","27.7999mm","-72.7002mm","27.7999mm","-73.5002mm","27.7999mm","T","360.00","470nF"
"CPP_115","SMD_0603_CAPC1608X80N","-52.7002mm","27.7999mm","-52.7002mm","27.7999mm","-53.5002mm","27.7999mm","T","360.00","470nF"
"CPP_116","SMD_0603_CAPC1608X80N","-37.2998mm","22.2001mm","-37.2998mm","22.2001mm","-36.4998mm","22.2001mm","T","180.00","470nF"
"CPP_117","SMD_0603_CAPC1608X80N","-17.2998mm","22.2001mm","-17.2998mm","22.2001mm","-16.4998mm","22.2001mm","T","180.00","470nF"
"CPP_118","SMD_0603_CAPC1608X80N","-52.7001mm","7.7999mm","-52.7001mm","7.7999mm","-53.5001mm","7.7999mm","T","360.00","470nF"
"CPP_119","SMD_0603_CAPC1608X80N","-32.7mm","7.8mm","-32.7mm","7.8mm","-33.5mm","7.8mm","T","360.00","470nF"
"CPP_120","SMD_0603_CAPC1608X80N","-23.2001mm","4.5999mm","-23.2001mm","4.5999mm","-24.0001mm","4.5999mm","T","360.00","470nF"
"U1_1","SMD_QFN50P900X900X85-65N_-_BE200","-15mm","75mm","-15mm","75mm","-11.25mm","79.5mm","T","270.00","BE200"
"U1_2","SMD_QFN50P900X900X85-65N_-_BE200","-15mm","55mm","-15mm","55mm","-11.25mm","59.5mm","T","270.00","BE200"
"U1_3","SMD_QFN50P900X900X85-65N_-_BE200","-15mm","35mm","-15mm","35mm","-11.25mm","39.5mm","T","270.00","BE200"
"U1_4","SMD_QFN50P900X900X85-65N_-_BE200","-15mm","15mm","-15mm","15mm","-11.25mm","19.5mm","T","270.00","BE200"
"U1_5","SMD_QFN50P900X900X85-65N_-_BE200","-35mm","15mm","-35mm","15mm","-38.75mm","10.5mm","T","90.00","BE200"
"U1_6","SMD_QFN50P900X900X85-65N_-_BE200","-35mm","35mm","-35mm","35mm","-38.75mm","30.5mm","T","90.00","BE200"
"U1_7","SMD_QFN50P900X900X85-65N_-_BE200","-35mm","55mm","-35mm","55mm","-38.75mm","50.5mm","T","90.00","BE200"
